dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_or_inference_seconds,mean_planner_or_inference_latency_seconds,median_planner_or_inference_latency_seconds,model_evaluations,source
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,100,-288415.26633213187,1000,0.018333333333333333,1.4686310000251979,1.1997091947123408,0.0011997091947123408,0.0008523499127477407,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,101,-288717.37102032517,1000,0.026333333333333334,1.8231860999949276,1.4157868949696422,0.001415786894969642,0.0012523999903351068,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,102,-288447.21249180986,1000,0.018666666666666668,1.7524703999515623,1.3475423022173345,0.0013475423022173345,0.0010876498417928815,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,103,-288332.2528594337,1000,0.019333333333333334,1.7461421999614686,1.3591661013197154,0.0013591661013197154,0.001055200002156198,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,104,-288653.1890893684,1000,0.021,1.7339618999976665,1.3569892048835754,0.0013569892048835755,0.0011520999250933528,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,105,-288595.62817253405,1000,0.021,1.9456635999958962,1.560376999201253,0.001560376999201253,0.0012357499217614532,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,106,-288369.07648810284,1000,0.024666666666666667,1.7872372001875192,1.4304720025975257,0.0014304720025975256,0.0011103999568149447,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,107,-288595.75251872436,1000,0.016,2.0966622999403626,1.7028120069298893,0.0017028120069298893,0.0012870499631389976,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,108,-288241.1767287236,1000,0.021,2.177210799884051,1.7727229001466185,0.0017727229001466185,0.0013672498753294349,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,109,-287738.15894582943,1000,0.021666666666666667,2.079916200134903,1.6947219020221382,0.0016947219020221381,0.001264450023882091,0,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,100,-273926.81341605174,1000,0.0,22.793434200109914,22.515851496485993,0.022515851496485995,0.020295799942687154,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,101,-274893.60121280415,1000,0.0,22.057365300133824,21.77473729918711,0.021774737299187108,0.020353400032036006,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,102,-274418.421265922,1000,0.0,22.440359100000933,22.15380110219121,0.02215380110219121,0.020568949985317886,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,103,-273497.24359255366,1000,0.0,22.397175499936566,22.10960920364596,0.02210960920364596,0.020577599992975593,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,104,-274541.8224479456,1000,0.0,22.42651700018905,22.13872260437347,0.02213872260437347,0.02059654996264726,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,105,-274217.4403264126,1000,0.0,22.306283900048584,22.01872599637136,0.02201872599637136,0.02050099999178201,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,106,-273659.61938109016,1000,0.0,22.438697600038722,22.151819793973118,0.02215181979397312,0.020685849827714264,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,107,-274398.1745076251,1000,0.0,22.053284200141206,21.77055480168201,0.02177055480168201,0.02039014990441501,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,108,-274210.8304980463,1000,0.0,23.56437460007146,23.27382119302638,0.02327382119302638,0.021077049896121025,1280000,main_system_matrix
M-100,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m100_gru_epoch_035.pt,CEM,109,-274049.376348893,1000,0.0,22.112774400040507,21.828481793403625,0.021828481793403624,0.020463750115595758,1280000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,100,-221189.68040576426,1000,0.0,27.360875699901953,26.98404460796155,0.02698404460796155,0.026041600038297474,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,101,-216032.0378152414,1000,0.0,27.9705461000558,27.601554000750184,0.027601554000750185,0.027296199928969145,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,102,-221337.5418629277,1000,0.0,28.678217999869958,28.307871697703376,0.028307871697703376,0.02802760014310479,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,103,-220691.68654231113,1000,0.0,29.03534150007181,28.6586446990259,0.0286586446990259,0.028433550149202347,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,104,-221304.33868469097,1000,0.0,29.926205300027505,29.5353863989003,0.029535386398900302,0.02874394995160401,5120000,main_system_matrix
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,105,-220359.19265474833,1000,0.0,29.487258800072595,29.111812303075567,0.029111812303075565,0.028813949902541935,5120000,main_system_matrix
