dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_seconds,mean_planner_latency_seconds,median_planner_latency_seconds,model_evaluations
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,42,-332008.1148963393,1000,0.0,59.85949829989113,59.623217596439645,0.05962321759643965,0.05765099998097867,999970
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,43,-331353.9468561734,1000,0.0,58.19701150013134,57.96890999516472,0.05796890999516472,0.056094200001098216,999970
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,44,-343484.9493171434,1000,0.0,65.85188139998354,65.60171940294094,0.06560171940294095,0.060906199854798615,999970
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,45,-333566.80131012097,1000,0.0,54.68257359997369,54.45956999971531,0.05445956999971531,0.05167929991148412,999970
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,reference_iCEM,46,-332570.07478236797,1000,0.0,48.609869699925184,48.39665660774335,0.04839665660774335,0.04720314987935126,999970
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,42,-642863.1618543671,1000,0.0,54.39891509991139,54.16767050256021,0.05416767050256021,0.04991820000577718,999970
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,43,-644149.9241530229,1000,0.0,57.37456679996103,57.13626550021581,0.05713626550021581,0.05534745007753372,999970
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,44,-644881.2031066539,1000,0.0,58.59501120005734,58.35218120389618,0.05835218120389618,0.055452049942687154,999970
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,45,-641713.8118166776,1000,0.0,56.76398320007138,56.529727801214904,0.0565297278012149,0.05505664995871484,999970
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,reference_iCEM,46,-644315.0415526049,1000,0.0,56.74459330015816,56.508487693499774,0.056508487693499775,0.05489244998898357,999970
