dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_or_inference_seconds,mean_planner_or_inference_latency_seconds,median_planner_or_inference_latency_seconds,model_evaluations,source
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,42,-219386.85747768224,1000,0.0,25.41182090016082,25.08488589921035,0.02508488589921035,0.02469614997971803,5120000,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,43,-221633.10217512347,1000,0.0,25.579495399957523,25.26644379994832,0.02526644379994832,0.0249323999742046,5120000,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,44,-222716.0021259547,1000,0.0,27.439060299890116,27.111522398656234,0.027111522398656236,0.026128249941393733,5120000,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,45,-219248.2227662379,1000,0.0,27.822501299902797,27.500541901914403,0.027500541901914404,0.027060050051659346,5120000,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,46,-222374.71138740465,1000,0.0,28.47293569985777,28.144713796209544,0.028144713796209544,0.02767459989991039,5120000,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,42,-223305.1138649798,1000,0.0,26.869932800065726,26.533753503346816,0.026533753503346816,0.02597795007750392,5120000,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,43,-223452.47187693385,1000,0.0,28.750007799826562,28.42595420521684,0.02842595420521684,0.027921849978156388,5120000,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,44,-224561.2215988694,1000,0.0,28.83175319992006,28.499149701558053,0.028499149701558053,0.02814299997407943,5120000,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,45,-224378.7155765807,1000,0.0,28.844266600208357,28.514168398920447,0.028514168398920448,0.02822859992738813,5120000,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,MPPI,46,-223171.47925601873,1000,0.0,28.551138800103217,28.22153370291926,0.02822153370291926,0.02764284994918853,5120000,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,iCEM,42,-332008.1148963393,1000,0.0,59.85949829989113,59.623217596439645,0.05962321759643965,0.05765099998097867,999970,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,iCEM,43,-331353.9468561734,1000,0.0,58.19701150013134,57.96890999516472,0.05796890999516472,0.056094200001098216,999970,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,iCEM,44,-343484.9493171434,1000,0.0,65.85188139998354,65.60171940294094,0.06560171940294095,0.060906199854798615,999970,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,iCEM,45,-333566.80131012097,1000,0.0,54.68257359997369,54.45956999971531,0.05445956999971531,0.05167929991148412,999970,outputs/metrics/reference_planner_freeze.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,iCEM,46,-332570.07478236797,1000,0.0,48.609869699925184,48.39665660774335,0.04839665660774335,0.04720314987935126,999970,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,iCEM,42,-317320.6201977833,1000,0.0,55.91678349999711,55.68441239930689,0.055684412399306896,0.054064400028437376,999970,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,iCEM,43,-308840.42639200715,1000,0.0,64.30511859990656,64.04837890039198,0.06404837890039199,0.0633148499764502,999970,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,iCEM,44,-339108.00208887405,1000,0.0,66.61138719995506,66.35033260076307,0.06635033260076306,0.06423105008434504,999970,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,iCEM,45,-265286.2517581833,1000,0.0,65.20502189989202,64.94710699678399,0.064947106996784,0.06365424999967217,999970,outputs/metrics/reference_planner_freeze.json
M-10000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m10000_transformer2_fair_epoch_004.pt,iCEM,46,-375765.04332210927,1000,0.0,65.12823709985241,64.86552619701251,0.06486552619701251,0.063577999942936,999970,outputs/metrics/reference_planner_freeze.json
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,42,-288550.3327567923,1000,0.018,1.4470311999320984,1.168115099426359,0.001168115099426359,0.0010100000072270632,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,43,-288083.45245140925,1000,0.02,1.369868699926883,1.109650204423815,0.0011096502044238151,0.000922849983908236,0,main_system_matrix
BC-fixed,OfficialBC,G:\PAI\outputs\checkpoints\official_bc_ib_m1000.pt,BC,44,-288027.5107067069,1000,0.021666666666666667,1.6985220999922603,1.367201297543943,0.001367201297543943,0.0011562998406589031,0,main_system_matrix
