dataset_scale,world_model_architecture,strategy,mean_return,std_return,median_return,mean_delta_vs_bc,win_rate_vs_bc,mean_runtime_seconds,mean_planning_or_inference_seconds,mean_model_evaluations
M-100,GRU,CEM,-274237.57229565963,588.3410518665219,-274339.1436804386,13937.637263566163,1.0,21.797526380000637,21.518187878746538,1280000.0
M-100,GRU,iCEM,-2646910.4102857956,4581.252921686527,-2644830.252996041,-2358735.2007265696,0.0,38.83373438003473,38.5327494611498,999970.0
M-100,GRU,MPPI,-348211.0043620888,5686.768561271089,-349793.77947422385,-60035.79480286305,0.0,28.30339407995343,27.94102105931379,5120000.0
M-100,GRU,MB-PPO+KL,-281008.7234395385,130.5460001043355,-280977.3799004331,7166.486119687313,1.0,1.3299783799797296,1.0492441784124822,0.0
M-1000,Transformer-2L,CEM,-267826.33649910695,407.3511947349722,-267700.01597938954,20348.87306011886,1.0,34.55187912005931,34.27852580128238,1280000.0
M-1000,Transformer-2L,iCEM,-334596.777432429,4503.001171853489,-332570.07478236797,-46421.56787320322,0.0,57.44016689998098,57.21001472040079,999970.0
M-1000,Transformer-2L,MPPI,-221071.7791864806,1475.1612844068943,-221633.10217512347,67103.4303727452,1.0,26.945162719953807,26.62162155918777,5120000.0
M-1000,Transformer-2L,MB-PPO+KL,-285326.2122269104,158.2908181839826,-285335.3620354265,2848.99733231538,1.0,1.489669940015301,1.20021584155038,0.0
M-10000,Transformer-2L,CEM,-269218.1184191006,410.7736212197915,-269260.14067664574,18957.091140125216,1.0,33.210952039947735,32.94411039943807,1280000.0
M-10000,Transformer-2L,iCEM,-321264.0687517914,36310.262619277484,-317320.6201977833,-33088.85919256562,0.2,63.43330965992063,63.17915141885169,999970.0
M-10000,Transformer-2L,MPPI,-223773.80043467652,578.2152477440528,-223452.47187693385,64401.40912454929,1.0,28.369419840024783,28.038911902392282,5120000.0
M-10000,Transformer-2L,MB-PPO+KL,-285217.4636411645,283.1428117975686,-285174.6497904242,2957.745918061305,1.0,1.1034967200830579,0.8967541601974517,0.0
