gradient_step,elapsed_time_seconds,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
1,0.7679864000529051,-283.9325866699219,-342.28155517578125,198.17298889160156,0.021637696772813797,1067920.5,0.0,0.7941851615905762,0.0,0.0,317.0038146972656,2045.7227783203125
100,1.360730600077659,-283.9325866699219,-342.28155517578125,198.17298889160156,0.44619250297546387,1114288.25,3.716381549835205,0.8523391485214233,3.510075092315674,0.96875,2135.411865234375,17296.046875
200,1.968937300145626,-281.2686767578125,-353.321533203125,201.4819793701172,0.5766220688819885,1036826.625,0.800849437713623,0.9120797514915466,3.193528175354004,0.97265625,1566.2816162109375,15261.1875
300,2.552817099960521,-280.819091796875,-340.9929504394531,196.62576293945312,0.5376313328742981,1063712.375,0.3629924952983856,0.9480260610580444,1.7736314535140991,0.9296875,901.212890625,18565.982421875
400,3.1833959999494255,-284.19476318359375,-345.9774169921875,202.74070739746094,0.2519814670085907,982396.375,1.3714091777801514,0.9720331430435181,1.3412857055664062,0.9140625,1017.898193359375,16303.607421875
500,3.8395849000662565,-285.29901123046875,-355.6763610839844,202.27175903320312,0.2549477219581604,1099726.875,0.4120580554008484,1.029839038848877,0.3540388345718384,0.79296875,501.70648193359375,19411.0234375
600,4.437131199985743,-284.1863708496094,-356.60943603515625,197.43716430664062,0.6520062685012817,1082697.5,1.0392892360687256,1.0669236183166504,2.3292629718780518,0.97265625,978.8473510742188,19704.107421875
700,5.08693110011518,-283.9088439941406,-353.81396484375,195.56448364257812,0.11810669302940369,983730.625,0.8872900009155273,1.1118130683898926,0.5429481863975525,0.83984375,597.8690795898438,18658.09375
800,6.004961899947375,-286.4534606933594,-351.78179931640625,203.41107177734375,0.3317795991897583,1086385.625,0.2642020285129547,1.1528253555297852,0.5900496244430542,0.828125,290.2449645996094,21045.423828125
900,6.971498500090092,-287.4988708496094,-356.5342102050781,201.0892791748047,0.7296910881996155,1084450.375,0.4264933168888092,1.2090108394622803,1.6504669189453125,0.9765625,338.1057434082031,20912.380859375
1000,7.883564000017941,-285.04656982421875,-353.117431640625,202.74070739746094,0.30640000104904175,1068320.375,0.7468882203102112,1.2320475578308105,0.6352968811988831,0.8671875,497.1789245605469,19664.8046875
1100,8.517198800109327,-279.4689636230469,-349.61004638671875,198.2382354736328,0.39360520243644714,986246.625,0.776180624961853,1.2677781581878662,2.6424007415771484,0.96484375,266.8841857910156,20025.51171875
1200,9.233883399982005,-285.0517272949219,-354.075927734375,198.642578125,0.25616568326950073,1098073.0,0.3791320025920868,1.306211233139038,0.4612729549407959,0.8125,189.29318237304688,20393.673828125
1300,10.110149800078943,-282.0448913574219,-350.29644775390625,193.02122497558594,0.2323233038187027,1092695.75,0.24738894402980804,1.2979016304016113,0.31262651085853577,0.79296875,137.34176635742188,20989.8203125
1400,10.779140600003302,-287.28436279296875,-351.1623840332031,202.97508239746094,-0.02393544465303421,966781.375,0.2721412181854248,1.2703312635421753,0.26679080724716187,0.76953125,52.03331756591797,19904.78125
1500,11.403418499976397,-282.5584411621094,-357.03228759765625,199.63999938964844,0.09072726219892502,988076.75,0.7648392915725708,1.2397866249084473,0.4103369414806366,0.80859375,190.48988342285156,19700.755859375
1600,12.17291450011544,-281.4181213378906,-354.8098449707031,202.74070739746094,0.30021464824676514,1038892.6875,1.2120798826217651,1.1792514324188232,0.8038488626480103,0.8984375,304.9395446777344,19040.904296875
