gradient_step,elapsed_time_seconds,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
1,0.1698028000537306,-280.1872863769531,-342.90472412109375,198.17298889160156,0.02339058183133602,1036393.5625,0.0,0.7941851019859314,0.0,0.0,312.96429443359375,2053.4091796875
100,0.9151642001233995,-280.1872863769531,-342.90472412109375,198.17298889160156,0.45057588815689087,1082808.5,4.834514617919922,0.8500245809555054,4.973891735076904,0.97265625,2950.58203125,16926.66015625
200,1.6016178000718355,-291.31640625,-347.933837890625,201.4819793701172,0.4135216474533081,1112898.25,2.380960464477539,0.9186174869537354,4.200177192687988,0.9921875,1710.0308837890625,16060.6171875
300,2.266493800096214,-286.2628173828125,-344.70172119140625,196.62576293945312,0.46745210886001587,1106261.25,2.3030200004577637,0.9787097573280334,4.929441452026367,0.984375,1323.3392333984375,18925.14453125
400,2.9813209001440555,-268.5212097167969,-349.5091552734375,202.74070739746094,0.5599749088287354,868458.75,0.4348154664039612,1.0338435173034668,3.1190686225891113,0.98046875,496.8572082519531,15059.0048828125
500,3.660906400065869,-284.1805114746094,-354.4024963378906,202.27175903320312,0.4971155822277069,1093073.75,3.639272689819336,1.076151728630066,3.557072639465332,0.9765625,942.4771728515625,19200.357421875
600,4.330446599982679,-285.5367126464844,-351.9370422363281,197.43716430664062,0.6697120666503906,1089673.75,0.6517817974090576,1.1244807243347168,0.9108788371086121,0.8984375,781.2173461914062,20644.224609375
700,5.166044000070542,-279.2392272949219,-352.471435546875,195.56448364257812,0.266110897064209,944477.625,1.0177485942840576,1.1700133085250854,1.5646240711212158,0.91796875,678.6212158203125,18235.349609375
800,6.271899700164795,-284.2877197265625,-352.3162841796875,203.41107177734375,0.20619922876358032,1065775.75,0.3660900592803955,1.1890559196472168,0.38116079568862915,0.8359375,254.49708557128906,20836.73046875
900,7.293228999944404,-281.77606201171875,-357.9978942871094,201.0892791748047,0.17516201734542847,1033781.375,0.2904232442378998,1.179408073425293,0.3485493063926697,0.765625,244.84857177734375,20309.029296875
1000,8.06249550008215,-283.8997497558594,-354.57977294921875,202.74070739746094,0.32761672139167786,1061205.5,0.7942852973937988,1.1713671684265137,0.8625280857086182,0.90234375,290.6300964355469,19610.138671875
1100,8.740733100101352,-277.2526550292969,-354.5090637207031,198.2382354736328,0.24497270584106445,971340.0625,0.2270541787147522,1.1792778968811035,0.7538638114929199,0.9140625,136.6315460205078,19755.52734375
1200,9.562933300156146,-282.8379821777344,-356.292236328125,198.642578125,0.1647757887840271,1074881.125,0.3954484164714813,1.159587025642395,0.31173068284988403,0.796875,217.51904296875,19994.970703125
1300,10.434614900033921,-276.392333984375,-352.620849609375,193.02122497558594,0.2075609415769577,1046792.375,0.4366397261619568,1.1666560173034668,0.28164157271385193,0.6796875,132.4967041015625,20480.978515625
1400,11.073152499971911,-280.3791198730469,-353.622802734375,202.97508239746094,-0.05638960748910904,917535.75,0.22552721202373505,1.1047546863555908,0.08126334846019745,0.484375,70.34968566894531,19335.630859375
1500,11.708746500080451,-280.5723571777344,-352.671630859375,199.63999938964844,0.04687505215406418,972175.875,0.26421064138412476,1.076601266860962,0.23380842804908752,0.765625,155.587158203125,19550.044921875
1600,12.356811800040305,-278.96661376953125,-352.0491943359375,202.74070739746094,0.07687295228242874,1015409.0625,0.1675390601158142,1.097830891609192,0.19305087625980377,0.65625,50.96295928955078,18821.1796875
1700,13.127810399979353,-279.8829040527344,-350.337158203125,203.34957885742188,0.13469748198986053,1065785.125,0.29563185572624207,1.0793919563293457,0.2091626077890396,0.67578125,128.1765594482422,20798.73828125
1800,14.00907799997367,-280.1737365722656,-350.1511535644531,195.56448364257812,0.2056277096271515,1079960.5,0.2050851583480835,1.0396305322647095,0.4393182396888733,0.83203125,101.8105697631836,20615.087890625
1900,14.662738500162959,-279.7389831542969,-350.45361328125,201.0050506591797,-0.07928956300020218,904532.75,0.13874749839305878,1.0196107625961304,0.06787316501140594,0.4296875,54.52322769165039,18811.892578125
2000,15.292341199936345,-284.4173889160156,-354.6539306640625,201.27757263183594,0.11552508175373077,1052400.75,0.13546080887317657,0.9847599267959595,0.24154815077781677,0.703125,86.47795104980469,20934.662109375
2100,15.949268999975175,-281.51763916015625,-348.70361328125,198.36514282226562,0.034966640174388885,1028646.125,0.24386993050575256,0.9520737528800964,0.08083047717809677,0.5546875,131.5238800048828,20758.994140625
2200,16.717473299941048,-281.40631103515625,-354.5527648925781,198.75633239746094,-0.004716241732239723,913211.0,0.1610301434993744,0.9528422355651855,0.13725696504116058,0.7109375,95.3444595336914,19471.78125
2300,17.621836500009522,-281.1560974121094,-351.367431640625,199.94781494140625,0.08124440908432007,983238.375,0.10006158798933029,1.0214250087738037,0.22457438707351685,0.734375,34.73745346069336,20218.904296875
2400,18.266892400104553,-283.0181579589844,-354.17291259765625,197.6160125732422,-0.035641565918922424,982200.0,0.12486039102077484,0.9682761430740356,0.057221394032239914,0.48046875,53.57986068725586,20326.2421875
2500,18.9498726001475,-280.97589111328125,-351.968994140625,199.4562530517578,0.020347964018583298,966958.6875,0.12773030996322632,0.9445056319236755,0.10856880992650986,0.66015625,67.37590789794922,20116.271484375
2600,19.613245400134474,-280.96014404296875,-345.31280517578125,185.6259765625,0.0570138543844223,1051518.25,0.09906719624996185,0.8958038091659546,0.046540267765522,0.4375,67.0083236694336,21053.890625
2700,20.383416099939495,-282.1203308105469,-357.17852783203125,203.41107177734375,0.05193222314119339,992959.75,0.2451002448797226,0.9281210899353027,0.1188255250453949,0.60546875,78.15514373779297,20320.99609375
2800,21.257412600098178,-280.78472900390625,-352.0599060058594,196.40762329101562,0.13121499121189117,1016895.5,0.12253764271736145,0.9369323253631592,0.10819512605667114,0.6015625,84.11306762695312,20760.4375
2900,21.943350699963048,-281.5914611816406,-352.0606384277344,199.94781494140625,-0.0064469631761312485,978781.25,0.09622082114219666,0.9695942997932434,0.010710913687944412,0.22265625,19.064233779907227,20320.2578125
3000,22.60035670013167,-280.8478698730469,-347.4203186035156,196.40762329101562,0.15233874320983887,1032927.625,0.10863909870386124,0.9848841428756714,0.1873036026954651,0.68359375,80.65513610839844,20833.29296875
3100,23.257485599955544,-282.2412109375,-354.41021728515625,198.17298889160156,0.05535738542675972,971790.25,0.126461923122406,0.9454978704452515,0.17862844467163086,0.671875,91.47460174560547,20144.552734375
3200,24.02171460003592,-279.8650207519531,-329.203369140625,202.74070739746094,0.10300391167402267,1019844.375,0.15133541822433472,0.9989927411079407,0.04044612869620323,0.5546875,87.06270599365234,20879.955078125
3300,24.89292290015146,-281.3052673339844,-354.82611083984375,196.84120178222656,-0.00816454365849495,994777.5,0.11399900913238525,0.9686387181282043,0.02924264594912529,0.21484375,40.234840393066406,20568.4609375
3400,25.545086900005117,-281.90863037109375,-353.5371398925781,202.6076202392578,0.15120455622673035,1057851.625,0.19476819038391113,0.9276798963546753,0.10872574150562286,0.5703125,123.01282501220703,21330.078125
3500,26.241030200151727,-280.62890625,-347.082275390625,195.147216796875,-0.01862260326743126,968400.75,0.1124054491519928,0.9256166219711304,0.013699792325496674,0.28125,47.20100402832031,20044.912109375
3600,26.89290269999765,-282.514404296875,-359.33306884765625,204.75669860839844,-0.023709766566753387,970682.0625,0.14384891092777252,0.8998665809631348,0.12210266292095184,0.58203125,88.7436294555664,20058.1953125
