gradient_step,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
1,-283.9366149902344,-346.7550354003906,198.17298889160156,0.022166157141327858,1066552.75,0.0,0.7941851615905762,0.0,0.0,319.8663635253906,2084.51953125
100,-283.9366149902344,-346.7550354003906,198.17298889160156,0.3859091103076935,1114299.0,12749.50390625,0.7959847450256348,12748.00390625,1.0,0.0,17286.974609375
200,-261.66192626953125,-352.59783935546875,201.4819793701172,0.37068602442741394,886763.0625,15924.2626953125,0.798846423625946,18733.0,1.0,0.0,13780.9658203125
300,-300.8050231933594,-343.8132019042969,196.62576293945312,0.3644731044769287,1217474.125,3900575842304.0,-8.31700325012207,3631752937472.0,1.0,0.0,20028.998046875
400,-299.8760986328125,-350.3015441894531,202.74070739746094,0.30835652351379395,1116551.0,20281.359375,0.8065376281738281,45409.2890625,1.0,0.0,17509.43359375
500,-301.4984436035156,-358.45928955078125,202.27175903320312,0.38869917392730713,1254313.375,127930.15625,0.8130584955215454,58614.734375,1.0,0.0,20831.654296875
600,-302.9620361328125,-358.3489990234375,197.43716430664062,0.368580162525177,1251471.5,42025.859375,0.6977704763412476,92122.53125,1.0,0.0,22388.76953125
700,-299.0205078125,-339.284912109375,195.56448364257812,0.3252396583557129,1111288.875,10793.6650390625,0.8159743547439575,25065.69140625,1.0,0.0,20055.44140625
800,-281.389404296875,-353.435302734375,203.41107177734375,0.3582978844642639,1001609.875,21093.53515625,0.8179601430892944,50292.75,1.0,0.0,20023.150390625
900,-222.7666015625,-332.0543212890625,201.0892791748047,0.34261783957481384,477870.75,12288.166015625,0.8119789361953735,43249.03125,1.0,0.0,13077.8583984375
1000,-301.21038818359375,-356.9937744140625,202.74070739746094,0.3450615108013153,1147310.375,4080555.75,-2.4161150455474854,15752138.0,1.0,0.0,20212.34375
1100,-222.6140594482422,-296.9825439453125,198.2382354736328,0.3425700068473816,490569.5,818141855744.0,-8.330692291259766,1538702704640.0,1.0,0.0,13198.95703125
1200,-228.318115234375,-329.45343017578125,198.642578125,0.3816802501678467,645144.375,818470060032.0,-8.333168983459473,3226802585600.0,1.0,0.0,15038.5087890625
1300,-221.4513702392578,-331.04180908203125,193.02122497558594,0.40171027183532715,625595.1875,6489140887552.0,-8.331609725952148,2761453731840.0,1.0,0.0,15320.31640625
1400,-226.31578063964844,-326.9615783691406,202.97508239746094,0.3129955530166626,558887.375,45627727675392.0,-8.331459999084473,17582172143616.0,1.0,0.0,14706.13671875
1500,-224.4270782470703,-333.1885986328125,199.63999938964844,0.34706199169158936,589354.625,143611895218176.0,-8.333258628845215,27242100948992.0,1.0,0.0,14817.98046875
1600,-222.7941436767578,-328.94232177734375,202.74070739746094,0.36573919653892517,606620.375,46194302648320.0,-8.333080291748047,27025249140736.0,1.0,0.0,14158.7763671875
1700,-222.6910858154297,-325.59466552734375,203.34957885742188,0.38587647676467896,630147.625,150110516281344.0,-8.333728790283203,30499472932864.0,1.0,0.0,15334.1865234375
1800,-223.4673309326172,-321.98846435546875,197.57046508789062,0.3956102728843689,646516.4375,372979590496256.0,-8.333517074584961,48505699696640.0,1.0,0.0,15647.203125
