data_scale,seed,return,elapsed_seconds,clipped_action_fraction
100,47,-274618.03562748164,17.24325850000605,0.0
100,48,-272257.57050650986,16.792174600064754,0.0
100,49,-271959.0482005091,16.717135899933055,0.0
100,50,-271696.34955850086,16.70135119999759,0.0
100,51,-306007.22613456746,17.04274219996296,0.0
1000,47,-268308.18425556796,16.943014400079846,0.0
1000,48,-268820.1793576515,16.825072099920362,0.0
1000,49,-267622.1557316093,16.98371860012412,0.0
1000,50,-269056.8689907432,16.774470699951053,0.0
1000,51,-267036.7958317073,16.89059379999526,0.0
10000,47,-268951.3655992532,16.78255519992672,0.0
10000,48,-268605.9365269977,16.811276899883524,0.0
10000,49,-267620.3294565595,16.891629199963063,0.0
10000,50,-267988.8547168249,17.107952600112185,0.0
10000,51,-268290.09657111554,17.60752539988607,0.0
