method,seed,return,elapsed_seconds,clipped_action_fraction,final_effective_sample_size
official_bc,47,-288598.9830244137,0.0,,
official_bc,48,-288584.65996015596,0.0,,
official_bc,49,-287733.1710404193,0.0,,
official_bc,50,-288200.39672663715,0.0,,
official_bc,51,-288196.541482272,0.0,,
cem,47,-268308.18425556796,16.943014400079846,0.0,
cem,48,-268820.1793576515,16.825072099920362,0.0,
cem,49,-267622.1557316093,16.98371860012412,0.0,
cem,50,-269056.8689907432,16.774470699951053,0.0,
cem,51,-267036.7958317073,16.89059379999526,0.0,
icem,47,-351279.3138263317,23.67623159987852,0.0,
icem,48,-359276.6901998287,23.70190260000527,0.0,
icem,49,-324003.0618328913,23.826052599819377,0.0,
icem,50,-308857.42133303196,23.603850999847054,0.0,
icem,51,-354661.3942884846,23.823469900060445,0.0,
mppi,47,-877080.3419246643,11.870702899992466,0.0,1.0899499553293235
mppi,48,-1377527.1789766648,11.739179000025615,0.0,2.4740901490982523
mppi,49,-956704.9187926564,11.81511289998889,0.0,1.9795541134479808
mppi,50,-832216.1294109181,11.682179699884728,0.0,1.071827488657538
mppi,51,-614447.0623486419,12.001409400021657,0.0,1.185599682619256
mbppo_with_kl,47,-284970.27825535496,0.6813893001526594,0.0,
mbppo_with_kl,48,-285140.21820577176,0.7601156001910567,0.0,
mbppo_with_kl,49,-284464.86736840126,0.7332897000014782,0.0,
mbppo_with_kl,50,-284652.02585761185,0.8705398999154568,0.0,
mbppo_with_kl,51,-284930.53431652824,0.8830547998659313,0.0,
mbppo_without_kl,47,-885472.7487736533,0.9475525000598282,0.0,
mbppo_without_kl,48,-885549.1679067689,0.9009168001357466,0.0,
mbppo_without_kl,49,-884005.6590541148,1.0227874000556767,0.0,
mbppo_without_kl,50,-884889.368477613,0.9654981999192387,0.0,
mbppo_without_kl,51,-883542.9139760362,1.026119199814275,0.0,
