method,seed,return
official_bc,42,-288550.3327567922
official_bc,43,-288083.45245140936
official_bc,44,-288027.5107067064
official_bc,45,-288216.32417794614
official_bc,46,-287998.4277032748
cem,42,-269809.07563216914
cem,43,-269019.5644952832
cem,44,-268870.4124338473
cem,45,-270098.86524284753
cem,46,-269071.8089461006
mbppo_with_kl,42,-285032.9112818104
mbppo_with_kl,43,-284569.127284214
mbppo_with_kl,44,-284738.06955886574
mbppo_with_kl,45,-284682.4706929367
mbppo_with_kl,46,-284551.5237588937
mbppo_without_kl,42,-884202.7989509981
mbppo_without_kl,43,-884053.6307014967
mbppo_without_kl,44,-883472.4494901372
mbppo_without_kl,45,-883976.3181359922
mbppo_without_kl,46,-882838.028077702
