method,seed,return,elapsed_seconds,clipped_action_fraction,final_effective_sample_size
cem,42,-269809.07563216914,16.86353940004483,0.0,
cem,43,-269019.5644952832,16.996722500072792,0.0,
cem,44,-268870.4124338473,16.900274000130594,0.0,
cem,45,-270098.86524284753,16.82454019994475,0.0,
cem,46,-269071.8089461006,16.862730300053954,0.0,
icem,42,-317654.173104034,24.09940529987216,0.0,
icem,43,-349048.60814642464,24.067588600097224,0.0,
icem,44,-358412.75955312187,24.03018769994378,0.0,
icem,45,-354005.9994980144,24.240785700036213,0.0,
icem,46,-306979.31989423686,24.20598499989137,0.0,
mppi,42,-1094384.8335986822,11.842314600013196,0.0,3.178963366599562
mppi,43,-1214308.9067456508,11.802906299941242,0.0,4.416357633758311
mppi,44,-947874.7493775298,11.993903500027955,0.0,2.410030435633573
mppi,45,-1020493.1250652764,11.769693900132552,0.0,2.699109403500801
mppi,46,-735851.752656708,11.76367749995552,0.0,2.148680721003285
