dataset_scale,world_model_architecture,world_model_checkpoint,strategy,seed,episode_return,episode_length,action_clipped_fraction,runtime_seconds,planning_or_inference_seconds,mean_planner_or_inference_latency_seconds,median_planner_or_inference_latency_seconds,model_evaluations,source
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,42,-219386.85747768224,1000,0.0,25.41182090016082,25.08488589921035,0.02508488589921035,0.02469614997971803,5120000,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,43,-221633.10217512347,1000,0.0,25.579495399957523,25.26644379994832,0.02526644379994832,0.0249323999742046,5120000,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,44,-222716.0021259547,1000,0.0,27.439060299890116,27.111522398656234,0.027111522398656236,0.026128249941393733,5120000,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,45,-219248.2227662379,1000,0.0,27.822501299902797,27.500541901914403,0.027500541901914404,0.027060050051659346,5120000,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:/PAI/outputs/checkpoints/world_model_ib_m1000_transformer2_fair_epoch_020.pt,MPPI,46,-222374.71138740465,1000,0.0,28.47293569985777,28.144713796209544,0.028144713796209544,0.02767459989991039,5120000,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,42,-285590.07143098745,1000,0.0,1.1032114999834448,0.8654492024797946,0.0008654492024797947,0.0007904500234872103,0,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,43,-285166.6173692539,1000,0.0,1.5105413999408484,1.1933747997973114,0.0011933747997973114,0.0010558500653132796,0,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,44,-285378.29994061874,1000,0.0,1.5466814001556486,1.2515146969817579,0.001251514696981758,0.0010726499604061246,0,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,45,-285160.7103582655,1000,0.0,1.6045389999635518,1.309487903257832,0.0013094879032578318,0.001101749949157238,0,outputs/metrics/main_system_matrix_development.json
M-1000,Transformer-2L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer2_fair_epoch_020.pt,MB-PPO+KL,46,-285335.3620354265,1000,0.0,1.683376400033012,1.381252605235204,0.001381252605235204,0.0011493000201880932,0,outputs/metrics/main_system_matrix_development.json
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MPPI,42,-331830.50268284365,1000,0.0,6.45433730003424,6.176619397709146,0.006176619397709146,0.00557455001398921,5120000,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MPPI,43,-344562.51847872435,1000,0.0,6.574925499968231,6.295048801694065,0.0062950488016940654,0.005647449870593846,5120000,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MPPI,44,-340049.92117438413,1000,0.0,6.251661000074819,5.981891094241291,0.0059818910942412915,0.005427449941635132,5120000,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MPPI,45,-332591.1046959471,1000,0.0,6.23395280004479,5.966099102515727,0.0059660991025157276,0.005370400031097233,5120000,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MPPI,46,-343639.2466802802,1000,0.0,6.257462300127372,5.988587501458824,0.005988587501458823,0.005375899956561625,5120000,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MB-PPO+KL,42,-288009.0277808392,1000,0.0,0.7882075000088662,0.6470952001400292,0.0006470952001400292,0.0005930500337854028,0,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MB-PPO+KL,43,-287641.53448130784,1000,0.0,1.0794913999270648,0.863798703532666,0.000863798703532666,0.0008310499833896756,0,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MB-PPO+KL,44,-287700.2720077419,1000,0.0,1.4887830999214202,1.1822983974125236,0.0011822983974125237,0.0009767998708412051,0,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MB-PPO+KL,45,-287664.941866657,1000,0.0,1.6026339000090957,1.286297301761806,0.001286297301761806,0.0010422499617561698,0,main_system_matrix
M-1000,MLP,G:\PAI\outputs\checkpoints\world_model_ib_m1000_mlp_best.pt,MB-PPO+KL,46,-287473.9661971523,1000,0.0,1.5125293000601232,1.2367035071365535,0.0012367035071365535,0.0009725000709295273,0,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MPPI,42,-296327.51903594105,1000,0.0,25.39203800004907,25.06786159495823,0.025067861594958232,0.024690650054253638,5120000,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MPPI,43,-306988.105562649,1000,0.0,26.93143009999767,26.586334697902203,0.0265863346979022,0.02503135008737445,5120000,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MPPI,44,-308052.1224112801,1000,0.0,27.90703919995576,27.55038400180638,0.02755038400180638,0.027315049897879362,5120000,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MPPI,45,-295925.63151819084,1000,0.0,27.70292009995319,27.351880601141602,0.0273518806011416,0.027185099897906184,5120000,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MPPI,46,-308645.9859235103,1000,0.0,28.125819300068542,27.781541192904115,0.027781541192904116,0.027703099884092808,5120000,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MB-PPO+KL,42,-285032.91128181,1000,0.0,0.887521900003776,0.693120903102681,0.000693120903102681,0.0006180000491440296,0,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MB-PPO+KL,43,-284569.12728421396,1000,0.0,1.8602576998528093,1.4528188044205308,0.0014528188044205309,0.0011749999830499291,0,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MB-PPO+KL,44,-284738.0695588661,1000,0.0,1.9070259998552501,1.523428997490555,0.001523428997490555,0.0012042499147355556,0,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MB-PPO+KL,45,-284682.4706929366,1000,0.0,2.112364600179717,1.6949811989907175,0.0016949811989907175,0.0014642500318586826,0,main_system_matrix
M-1000,GRU,G:\PAI\outputs\checkpoints\world_model_ib_m1000_gru_best.pt,MB-PPO+KL,46,-284551.52375889366,1000,0.0,1.7888685001526028,1.46255749091506,0.00146255749091506,0.001270950073376298,0,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MPPI,42,-302056.28868608514,1000,0.0,48.036295800004154,47.69684270420112,0.04769684270420112,0.04724035004619509,5120000,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MPPI,43,-311754.4621157708,1000,0.0,49.35876609990373,49.01617209543474,0.04901617209543474,0.04901494993828237,5120000,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MPPI,44,-313968.35419833555,1000,0.0,49.89638369996101,49.558275097515434,0.04955827509751543,0.049467300064861774,5120000,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MPPI,45,-303288.2643166551,1000,0.0,50.41477550007403,50.06337020313367,0.05006337020313367,0.050040500005707145,5120000,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MPPI,46,-316635.83835116174,1000,0.0,50.363314300077036,50.00231460202485,0.05000231460202485,0.049934100126847625,5120000,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MB-PPO+KL,42,-277270.10433511966,1000,0.0,0.8850427998695523,0.6909071998670697,0.0006909071998670698,0.0006290000164881349,0,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MB-PPO+KL,43,-277007.2104475803,1000,0.0,1.7578253999818116,1.3821904994547367,0.0013821904994547366,0.0010991999879479408,0,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MB-PPO+KL,44,-277300.6618822199,1000,0.0,1.8670566999353468,1.4871789959724993,0.0014871789959724992,0.0011969999177381396,0,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MB-PPO+KL,45,-277072.3967753836,1000,0.0,2.0326372999697924,1.6455589015968144,0.0016455589015968144,0.0013752500526607037,0,main_system_matrix
M-1000,LSTM,G:\PAI\outputs\checkpoints\world_model_ib_m1000_lstm_best.pt,MB-PPO+KL,46,-276986.56101194286,1000,0.0,1.7659914998803288,1.4513199031352997,0.0014513199031352996,0.0011397500056773424,0,main_system_matrix
M-1000,Transformer-4L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer4_epoch_040.pt,MPPI,42,-213869.92493240934,1000,0.0,51.610432900022715,51.272933094296604,0.051272933094296605,0.05104035011027008,5120000,main_system_matrix
M-1000,Transformer-4L,G:\PAI\outputs\checkpoints\world_model_ib_m1000_transformer4_epoch_040.pt,MPPI,43,-216035.70788105906,1000,0.0,53.00877649988979,52.66866640467197,0.052668666404671965,0.05261599994264543,5120000,main_system_matrix
