architecture,strategy,mean_return,std_return,median_return,mean_runtime_seconds,mean_model_evaluations,one_step_NRMSE,mean_NRMSE_H5_H10_H20,NRMSE_H50
MLP,MPPI,-338534.65874243586,5384.412213568489,-340049.92117438413,6.35446778004989,5120000.0,0.18990291849283317,0.38519455298361177,0.8656889345868432
MLP,MB-PPO+KL,-287697.9484667396,173.90558875105455,-287664.941866657,1.294329039985314,0.0,0.18990291849283317,0.38519455298361177,0.8656889345868432
GRU,MPPI,-303187.8728903142,5791.343443510078,-306988.105562649,27.211849340004846,5120000.0,0.17418055197650723,0.3317707841487844,0.7208183904604625
GRU,MB-PPO+KL,-284714.82051534404,173.58635488409712,-284682.4706929366,1.711207740008831,0.0,0.17418055197650723,0.3317707841487844,0.7208183904604625
LSTM,MPPI,-309540.6415336017,5830.183827299378,-311754.4621157708,49.61390708000399,5120000.0,0.17606558488016139,0.4026616597121275,0.975172421492708
LSTM,MB-PPO+KL,-277127.3868904492,132.43165030990463,-277072.3967753836,1.6617107399273663,0.0,0.17606558488016139,0.4026616597121275,0.975172421492708
Transformer-2L,MPPI,-221071.7791864806,1475.1612844068943,-221633.10217512347,26.945162719953807,5120000.0,0.18263381838527573,0.31773640175293844,0.7744742181715601
Transformer-2L,MB-PPO+KL,-285326.2122269104,158.2908181839826,-285335.3620354265,1.489669940015301,0.0,0.18263381838527573,0.31773640175293844,0.7744742181715601
Transformer-4L,MPPI,-216331.21866232232,2809.6600867257002,-216035.70788105906,52.810554219968616,5120000.0,0.18311909819784303,0.3378125680308029,0.6580659414233754
Transformer-4L,MB-PPO+KL,-283859.19948067213,244.09519389591335,-283783.359265827,2.010131140006706,0.0,0.18311909819784303,0.3378125680308029,0.6580659414233754
