data_scale,architecture,epoch,checkpoint,parameter_count,one_step_NRMSE,NRMSE_H5,NRMSE_H10,NRMSE_H20,NRMSE_H50,mean_NRMSE_H5_H10_H20,rollout_starts,evaluation_seconds,common_one_step_NRMSE,common_NRMSE_H5,common_NRMSE_H10,common_NRMSE_H20,common_NRMSE_H50,common_mean_NRMSE_H5_H10_H20,fixed_common_one_step_NRMSE,fixed_common_NRMSE_H5,fixed_common_NRMSE_H10,fixed_common_NRMSE_H20,fixed_common_NRMSE_H50,fixed_common_mean_NRMSE_H5_H10_H20
1000,MLP,2,outputs/checkpoints/world_model_ib_m1000_mlp_best.pt,114438,0.18693755567073822,0.22098760306835175,0.2572351396083832,0.32211408019065857,0.49445226788520813,0.26677894095579785,9600,0.31778119993396103,0.18496067821979523,0.23010869324207306,0.2722828984260559,0.3378860056400299,0.5144237279891968,0.280092532436053,0.18990297615528107,0.2740163207054138,0.3711276948451996,0.5104396343231201,0.8656888604164124,0.3851945499579112
1000,GRU,7,outputs/checkpoints/world_model_ib_m1000_gru_best.pt,177030,0.17880012094974518,0.19942595064640045,0.2253868132829666,0.29088589549064636,0.41465166211128235,0.23856621980667114,9600,2.962275099940598,0.17745855450630188,0.2091689109802246,0.23798833787441254,0.30547863245010376,0.4280664622783661,0.2508786271015803,0.1741805225610733,0.23408322036266327,0.30693545937538147,0.4542936086654663,0.7208183407783508,0.33177076280117035
1000,LSTM,13,outputs/checkpoints/world_model_ib_m1000_lstm_best.pt,227462,0.17900849878787994,0.21421071887016296,0.26345714926719666,0.34290286898612976,0.5465120077133179,0.27352357904116315,9600,4.99499909998849,0.17681066691875458,0.2282608151435852,0.2775772213935852,0.361202210187912,0.5696452856063843,0.28901341557502747,0.1760655641555786,0.2720341086387634,0.38121283054351807,0.5547380447387695,0.9751724600791931,0.402661661307017
1000,Transformer-4L,40,outputs/checkpoints/world_model_ib_m1000_transformer4_epoch_040.pt,158086,0.1906142234802246,0.20545175671577454,0.23479847609996796,0.2892812192440033,0.36582186818122864,0.24317715068658194,9600,5.564973900094628,0.1837804764509201,0.22386708855628967,0.24884940683841705,0.31255513429641724,0.39399024844169617,0.2617572098970413,0.1831190437078476,0.24465307593345642,0.31864607334136963,0.4501385986804962,0.6580659747123718,0.3378125826517741
100,MLP,35,outputs/checkpoints/world_model_ib_m100_mlp_epoch_035.pt,114438,0.19640830159187317,0.23440280556678772,0.280122846364975,0.31711170077323914,0.4797535836696625,0.2772124509016673,960,0.040313599864020944,0.19181814789772034,0.241224467754364,0.29309403896331787,0.3314014971256256,0.5101143717765808,0.28857333461443585,0.19003422558307648,0.28228679299354553,0.38047924637794495,0.46435585618019104,0.8250361680984497,0.3757072985172272
100,GRU,15,outputs/checkpoints/world_model_ib_m100_gru_epoch_015.pt,177030,0.19358259439468384,0.2043018937110901,0.2247225046157837,0.25137776136398315,0.36583489179611206,0.2268007198969523,960,0.33316839998587966,0.1903844177722931,0.21728074550628662,0.2383057326078415,0.2695389688014984,0.3912115693092346,0.24170848230520883,0.18506556749343872,0.22923864424228668,0.28298673033714294,0.3647100329399109,0.6288995742797852,0.29231180250644684
100,LSTM,35,outputs/checkpoints/world_model_ib_m100_lstm_epoch_035.pt,227462,0.19093796610832214,0.2093162089586258,0.2448023557662964,0.28921622037887573,0.38026881217956543,0.24777826170126596,960,0.5206422000192106,0.1887408345937729,0.22126944363117218,0.2610662579536438,0.3044288158416748,0.3792761266231537,0.2622548391421636,0.18401798605918884,0.22943808138370514,0.3021506369113922,0.4063364267349243,0.6107037663459778,0.3126417150100072
100,Transformer-4L,19,outputs/checkpoints/world_model_ib_m100_transformer4_best.pt,158086,0.18923422694206238,0.23680119216442108,0.3212706744670868,0.3709217607975006,0.37707147002220154,0.3096645424763362,960,0.5841566000599414,0.18550829589366913,0.24560262262821198,0.32215672731399536,0.3856492042541504,0.4169727861881256,0.3178028513987859,0.18187756836414337,0.3001270890235901,0.4347253441810608,0.5410037040710449,0.710422158241272,0.4252853790918986
10000,MLP,1,outputs/checkpoints/world_model_ib_m10000_mlp_epoch_001.pt,114438,0.20128411054611206,0.3040849268436432,0.40082263946533203,0.4849792718887329,0.5326381921768188,0.3966289460659027,10000,1.1912473000120372,0.20128411054611206,0.3040849268436432,0.40082263946533203,0.4849792718887329,0.5326381921768188,0.3966289460659027,0.2190980166196823,0.41244497895240784,0.5965943932533264,0.7380865216255188,0.8567144870758057,0.582375297943751
10000,GRU,1,outputs/checkpoints/world_model_ib_m10000_gru_epoch_001.pt,177030,0.18723027408123016,0.24161142110824585,0.3022229075431824,0.4334147274494171,0.7201641798019409,0.3257496853669484,10000,7.632309400010854,0.18723027408123016,0.24161142110824585,0.3022229075431824,0.4334147274494171,0.7201641798019409,0.3257496853669484,0.1884305328130722,0.292522132396698,0.42266735434532166,0.668718159198761,1.2011791467666626,0.4613025486469269
