step,variable,ground_truth,prediction,candidate_start,candidate_rollout_nrmse,selection_rule
1,setpoint,70.0,69.99996948242188,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
1,velocity,63.247222900390625,63.22052001953125,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
1,gain,0.0,-0.030977964401245117,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
1,shift,56.58842468261719,56.394142150878906,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
1,fatigue,66.82978820800781,67.78519439697266,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
1,consumption,69.56916809082031,71.03700256347656,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
2,setpoint,70.0,69.99998474121094,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
2,velocity,62.38775634765625,62.34292221069336,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
2,gain,0.0,-0.018974721431732178,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
2,shift,51.656368255615234,51.50399398803711,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
2,fatigue,68.69068145751953,68.45500183105469,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
2,consumption,76.83074188232422,76.9268569946289,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
3,setpoint,70.0,69.99999237060547,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
3,velocity,61.44081497192383,61.372703552246094,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
3,gain,0.0,-0.01849544048309326,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
3,shift,46.43645095825195,46.31587219238281,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
3,fatigue,67.62967681884766,69.24334716796875,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
3,consumption,74.8084945678711,79.69586944580078,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
4,setpoint,70.0,70.0,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
4,velocity,60.53352737426758,60.50908660888672,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
4,gain,0.0,-0.02568429708480835,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
4,shift,41.540321350097656,41.54833221435547,429950,0.12340383976697922,closest to median H50 rollout NRMSE among 101 deterministic starts
