scale,architecture,epoch,parameter_count,one_step_NRMSE,NRMSE_H1,NRMSE_H5,NRMSE_H10,NRMSE_H20,NRMSE_H50,mean_NRMSE_H5_H10_H20,selected_best_world_model
M100,GRU,35,177030,0.1795499446601025,0.1948897307938139,0.2228304155349209,0.2727223790497134,0.3743752941692478,0.6490343942125278,0.2899760295846273,True
M100,LSTM,35,227462,0.1840179277641731,0.1992898763665385,0.2294380741351769,0.3021506405679319,0.4063364276827309,0.6107037683595694,0.3126417141286132,False
M100,MLP,35,114438,0.1900342542025793,0.2036626192137815,0.2822868018628877,0.3804792661615528,0.4643558616271027,0.8250361598676456,0.3757073098838477,False
M100,Transformer-2L,35,91142,0.1785054387944209,0.1920838948187785,0.3142276243987818,0.4560749861235421,0.638382469654131,0.8987372918245204,0.4695616933921516,False
M100,Transformer-4L,19,158086,0.1818775134548466,0.1958878889306569,0.300127089138738,0.4347253559663162,0.5410036910172648,0.7104221872322447,0.4252853787074396,False
M1000,GRU,7,177030,0.1741805519765072,0.1906131709410036,0.2340832283033547,0.3069354936260881,0.4542936305169103,0.7208183904604625,0.3317707841487844,False
M1000,LSTM,13,227462,0.1760655848801613,0.1916776900479121,0.2720340927240258,0.3812128362492422,0.5547380501631144,0.975172421492708,0.4026616597121275,False
M1000,MLP,2,114438,0.1899029184928331,0.2064590445098015,0.2740163023942445,0.3711277116475938,0.5104396449089971,0.8656889345868432,0.3851945529836117,False
M1000,Transformer-2L,20,91142,0.1826338183852757,0.1960914839659552,0.2432193441141712,0.3054294132759139,0.4045604478687302,0.7744742181715601,0.3177364017529384,True
M1000,Transformer-4L,40,158086,0.183119098197843,0.2001068567172613,0.2446530678323322,0.3186460631277854,0.450138573132291,0.6580659414233754,0.3378125680308029,False
M10000,GRU,1,177030,0.1884305899309502,0.2053967976701803,0.2925221316428929,0.4226673449932469,0.6687181644327274,1.2011791767769686,0.4613025470229557,False
M10000,LSTM,2,227462,0.2148206200588219,0.2402411653465951,0.3266903455840906,0.4230844623172194,0.5854458519098434,1.0223264066672042,0.4450735532703844,False
M10000,MLP,1,114438,0.219098012131397,0.232905919706979,0.4124450048183054,0.596594388872721,0.7380864565311379,0.8567144760380322,0.5823752834073881,False
M10000,Transformer-2L,4,91142,0.2050117025861404,0.2095510287184222,0.2578199117215928,0.2975354300890224,0.2934730983263718,0.5098931158016442,0.2829428133789957,True
M10000,Transformer-4L,6,158086,0.18789375981205,0.2075106869058829,0.2464986581831155,0.2903572910131746,0.3483943588159116,0.5812938634703545,0.2950834360040672,False
