dataset_scale,world_model_architecture,strategy,seed,episode_return,episode_length
M-1000,Transformer-2L,MPPI,42,-219386.85747768224,1000
M-1000,Transformer-2L,MPPI,43,-221633.10217512347,1000
M-1000,Transformer-2L,MPPI,44,-222716.0021259547,1000
M-1000,Transformer-2L,MPPI,45,-219248.2227662379,1000
M-1000,Transformer-2L,MPPI,46,-222374.71138740465,1000
M-10000,Transformer-2L,MPPI,42,-223305.1138649798,1000
M-10000,Transformer-2L,MPPI,43,-223452.47187693385,1000
M-10000,Transformer-2L,MPPI,44,-224561.2215988694,1000
M-10000,Transformer-2L,MPPI,45,-224378.7155765807,1000
M-10000,Transformer-2L,MPPI,46,-223171.47925601876,1000
M-1000,Transformer-2L,iCEM,42,-332008.1148963393,1000
M-1000,Transformer-2L,iCEM,43,-331353.9468561734,1000
M-1000,Transformer-2L,iCEM,44,-343484.9493171434,1000
M-1000,Transformer-2L,iCEM,45,-333566.80131012097,1000
M-1000,Transformer-2L,iCEM,46,-332570.074782368,1000
M-10000,Transformer-2L,iCEM,42,-317320.6201977833,1000
M-10000,Transformer-2L,iCEM,43,-308840.42639200715,1000
M-10000,Transformer-2L,iCEM,44,-339108.00208887405,1000
M-10000,Transformer-2L,iCEM,45,-265286.2517581833,1000
M-10000,Transformer-2L,iCEM,46,-375765.04332210927,1000
BC-fixed,OfficialBC,BC,42,-288550.3327567923,1000
BC-fixed,OfficialBC,BC,43,-288083.45245140925,1000
BC-fixed,OfficialBC,BC,44,-288027.5107067069,1000
BC-fixed,OfficialBC,BC,45,-288216.324177946,1000
BC-fixed,OfficialBC,BC,46,-287998.42770327453,1000
M-100,GRU,CEM,42,-275016.9331165737,1000
M-100,GRU,CEM,43,-273935.7450092282,1000
M-100,GRU,CEM,44,-273294.4814031176,1000
M-100,GRU,CEM,45,-274339.1436804386,1000
M-100,GRU,CEM,46,-274601.5582689401,1000
M-100,GRU,iCEM,42,-2647512.9512959267,1000
M-100,GRU,iCEM,43,-2643244.9496063786,1000
M-100,GRU,iCEM,44,-2655547.7570110336,1000
M-100,GRU,iCEM,45,-2644830.252996041,1000
M-100,GRU,iCEM,46,-2643416.1405195976,1000
M-100,GRU,MPPI,42,-341601.2142669747,1000
M-100,GRU,MPPI,43,-353794.3278912382,1000
M-100,GRU,MPPI,44,-349793.77947422385,1000
M-100,GRU,MPPI,45,-341445.4029809411,1000
M-100,GRU,MPPI,46,-354420.2971970663,1000
M-100,GRU,MB-PPO,42,-281236.21065652085,1000
M-100,GRU,MB-PPO,43,-280977.3799004331,1000
M-100,GRU,MB-PPO,44,-281021.37981215084,1000
M-100,GRU,MB-PPO,45,-280831.7991939523,1000
M-100,GRU,MB-PPO,46,-280976.8476346353,1000
M-1000,Transformer-2L,CEM,42,-268543.524206437,1000
M-1000,Transformer-2L,CEM,43,-267700.01597938954,1000
M-1000,Transformer-2L,CEM,44,-267330.3465224918,1000
M-1000,Transformer-2L,CEM,45,-267622.60810103203,1000
M-1000,Transformer-2L,CEM,46,-267935.1876861843,1000
M-1000,Transformer-2L,MB-PPO,42,-285590.07143098745,1000
M-1000,Transformer-2L,MB-PPO,43,-285166.6173692539,1000
M-1000,Transformer-2L,MB-PPO,44,-285378.29994061874,1000
M-1000,Transformer-2L,MB-PPO,45,-285160.7103582655,1000
M-1000,Transformer-2L,MB-PPO,46,-285335.3620354265,1000
M-10000,Transformer-2L,CEM,42,-269450.55057262955,1000
M-10000,Transformer-2L,CEM,43,-269242.7340274588,1000
M-10000,Transformer-2L,CEM,44,-268459.25718440703,1000
M-10000,Transformer-2L,CEM,45,-269260.14067664574,1000
M-10000,Transformer-2L,CEM,46,-269677.90963436174,1000
M-10000,Transformer-2L,MB-PPO,42,-285544.99418654304,1000
M-10000,Transformer-2L,MB-PPO,43,-285533.3958476722,1000
M-10000,Transformer-2L,MB-PPO,44,-285174.6497904242,1000
M-10000,Transformer-2L,MB-PPO,45,-284993.09070492536,1000
M-10000,Transformer-2L,MB-PPO,46,-284841.1876762576,1000
