dataset_scale,world_model_architecture,strategy,seed,episode_return,episode_length
M-1000,Transformer-2L,MPPI,42,-219386.85747768224,1000
M-1000,Transformer-2L,MPPI,43,-221633.10217512347,1000
M-1000,Transformer-2L,MPPI,44,-222716.0021259547,1000
M-1000,Transformer-2L,MPPI,45,-219248.2227662379,1000
M-1000,Transformer-2L,MPPI,46,-222374.71138740465,1000
M-1000,Transformer-2L,MB-PPO,42,-285590.07143098745,1000
M-1000,Transformer-2L,MB-PPO,43,-285166.6173692539,1000
M-1000,Transformer-2L,MB-PPO,44,-285378.29994061874,1000
M-1000,Transformer-2L,MB-PPO,45,-285160.7103582655,1000
M-1000,Transformer-2L,MB-PPO,46,-285335.3620354265,1000
M-1000,MLP,MPPI,42,-331830.50268284365,1000
M-1000,MLP,MPPI,43,-344562.51847872435,1000
M-1000,MLP,MPPI,44,-340049.92117438413,1000
M-1000,MLP,MPPI,45,-332591.1046959471,1000
M-1000,MLP,MPPI,46,-343639.2466802802,1000
M-1000,MLP,MB-PPO,42,-288009.0277808392,1000
M-1000,MLP,MB-PPO,43,-287641.53448130784,1000
M-1000,MLP,MB-PPO,44,-287700.2720077419,1000
M-1000,MLP,MB-PPO,45,-287664.941866657,1000
M-1000,MLP,MB-PPO,46,-287473.9661971523,1000
M-1000,GRU,MPPI,42,-296327.51903594105,1000
M-1000,GRU,MPPI,43,-306988.105562649,1000
M-1000,GRU,MPPI,44,-308052.1224112801,1000
M-1000,GRU,MPPI,45,-295925.63151819084,1000
M-1000,GRU,MPPI,46,-308645.9859235103,1000
M-1000,GRU,MB-PPO,42,-285032.91128181,1000
M-1000,GRU,MB-PPO,43,-284569.127284214,1000
M-1000,GRU,MB-PPO,44,-284738.0695588661,1000
M-1000,GRU,MB-PPO,45,-284682.4706929366,1000
M-1000,GRU,MB-PPO,46,-284551.52375889366,1000
M-1000,LSTM,MPPI,42,-302056.28868608514,1000
M-1000,LSTM,MPPI,43,-311754.4621157708,1000
M-1000,LSTM,MPPI,44,-313968.35419833555,1000
M-1000,LSTM,MPPI,45,-303288.2643166551,1000
M-1000,LSTM,MPPI,46,-316635.83835116174,1000
M-1000,LSTM,MB-PPO,42,-277270.10433511966,1000
M-1000,LSTM,MB-PPO,43,-277007.2104475803,1000
M-1000,LSTM,MB-PPO,44,-277300.6618822199,1000
M-1000,LSTM,MB-PPO,45,-277072.3967753836,1000
M-1000,LSTM,MB-PPO,46,-276986.56101194286,1000
M-1000,Transformer-4L,MPPI,42,-213869.9249324093,1000
M-1000,Transformer-4L,MPPI,43,-216035.70788105903,1000
M-1000,Transformer-4L,MPPI,44,-220972.0024385756,1000
M-1000,Transformer-4L,MPPI,45,-213151.5860092833,1000
M-1000,Transformer-4L,MPPI,46,-217626.8720502845,1000
M-1000,Transformer-4L,MB-PPO,42,-284327.460113026,1000
M-1000,Transformer-4L,MB-PPO,43,-283608.7490713257,1000
M-1000,Transformer-4L,MB-PPO,44,-283783.359265827,1000
M-1000,Transformer-4L,MB-PPO,45,-283794.9007036525,1000
M-1000,Transformer-4L,MB-PPO,46,-283781.52824952936,1000
