evaluation_source,system,sample_id,episode_return
NeoRL dataset trajectories,Original Behavior,0,-282860.125
NeoRL dataset trajectories,Original Behavior,1,-278576.375
NeoRL dataset trajectories,Original Behavior,2,-282476.375
NeoRL dataset trajectories,Original Behavior,3,-283886.78125
NeoRL dataset trajectories,Original Behavior,4,-279429.15625
NeoRL dataset trajectories,Original Behavior,5,-282665.0625
NeoRL dataset trajectories,Original Behavior,6,-282552.25
NeoRL dataset trajectories,Original Behavior,7,-282603.15625
NeoRL dataset trajectories,Original Behavior,8,-282137.875
NeoRL dataset trajectories,Original Behavior,9,-283439.0
NeoRL dataset trajectories,Original Behavior,10,-282570.03125
NeoRL dataset trajectories,Original Behavior,11,-282741.875
NeoRL dataset trajectories,Original Behavior,12,-279158.1875
NeoRL dataset trajectories,Original Behavior,13,-281915.46875
NeoRL dataset trajectories,Original Behavior,14,-282946.78125
NeoRL dataset trajectories,Original Behavior,15,-282555.53125
NeoRL dataset trajectories,Original Behavior,16,-283792.9375
NeoRL dataset trajectories,Original Behavior,17,-283274.15625
NeoRL dataset trajectories,Original Behavior,18,-283000.5625
NeoRL dataset trajectories,Original Behavior,19,-283033.0625
NeoRL dataset trajectories,Original Behavior,20,-282598.8125
NeoRL dataset trajectories,Original Behavior,21,-284124.875
NeoRL dataset trajectories,Original Behavior,22,-278936.28125
NeoRL dataset trajectories,Original Behavior,23,-282784.375
NeoRL dataset trajectories,Original Behavior,24,-283611.75
NeoRL dataset trajectories,Original Behavior,25,-282167.125
NeoRL dataset trajectories,Original Behavior,26,-283013.90625
NeoRL dataset trajectories,Original Behavior,27,-283495.53125
NeoRL dataset trajectories,Original Behavior,28,-283453.9375
NeoRL dataset trajectories,Original Behavior,29,-284834.78125
NeoRL dataset trajectories,Original Behavior,30,-283780.59375
NeoRL dataset trajectories,Original Behavior,31,-284640.59375
NeoRL dataset trajectories,Original Behavior,32,-282302.40625
NeoRL dataset trajectories,Original Behavior,33,-283798.1875
NeoRL dataset trajectories,Original Behavior,34,-281583.09375
NeoRL dataset trajectories,Original Behavior,35,-283643.0625
NeoRL dataset trajectories,Original Behavior,36,-283160.3125
NeoRL dataset trajectories,Original Behavior,37,-283421.625
NeoRL dataset trajectories,Original Behavior,38,-282664.5
NeoRL dataset trajectories,Original Behavior,39,-283064.375
NeoRL dataset trajectories,Original Behavior,40,-284604.5
NeoRL dataset trajectories,Original Behavior,41,-283158.0
NeoRL dataset trajectories,Original Behavior,42,-282560.15625
