condition,gradient_step,model_reward_mean,model_reward_min,model_state_abs_max,policy_loss,value_loss,behavior_kl,entropy,approx_old_policy_kl,clip_fraction,actor_grad_norm,value_grad_norm
without behavior KL,1,-283.9366149902344,-346.7550354003906,198.1729888916016,0.0221661571413278,1066552.75,0.0,0.7941851615905762,0.0,0.0,319.8663635253906,2084.51953125
without behavior KL,100,-283.9366149902344,-346.7550354003906,198.1729888916016,0.3859091103076935,1114299.0,12749.50390625,0.7959847450256348,12748.00390625,1.0,0.0,17286.974609375
without behavior KL,200,-261.66192626953125,-352.59783935546875,201.4819793701172,0.3706860244274139,886763.0625,15924.2626953125,0.798846423625946,18733.0,1.0,0.0,13780.9658203125
without behavior KL,300,-300.8050231933594,-343.8132019042969,196.62576293945312,0.3644731044769287,1217474.125,3900575842304.0,-8.31700325012207,3631752937472.0,1.0,0.0,20028.998046875
without behavior KL,400,-299.8760986328125,-350.3015441894531,202.7407073974609,0.3083565235137939,1116551.0,20281.359375,0.8065376281738281,45409.2890625,1.0,0.0,17509.43359375
without behavior KL,500,-301.4984436035156,-358.45928955078125,202.27175903320312,0.3886991739273071,1254313.375,127930.15625,0.8130584955215454,58614.734375,1.0,0.0,20831.654296875
without behavior KL,600,-302.9620361328125,-358.3489990234375,197.43716430664065,0.368580162525177,1251471.5,42025.859375,0.6977704763412476,92122.53125,1.0,0.0,22388.76953125
without behavior KL,700,-299.0205078125,-339.284912109375,195.56448364257807,0.3252396583557129,1111288.875,10793.6650390625,0.8159743547439575,25065.69140625,1.0,0.0,20055.44140625
without behavior KL,800,-281.389404296875,-353.435302734375,203.41107177734372,0.3582978844642639,1001609.875,21093.53515625,0.8179601430892944,50292.75,1.0,0.0,20023.150390625
without behavior KL,900,-222.7666015625,-332.0543212890625,201.0892791748047,0.3426178395748138,477870.75,12288.166015625,0.8119789361953735,43249.03125,1.0,0.0,13077.8583984375
without behavior KL,1000,-301.2103881835937,-356.9937744140625,202.7407073974609,0.3450615108013153,1147310.375,4080555.75,-2.4161150455474854,15752138.0,1.0,0.0,20212.34375
without behavior KL,1100,-222.6140594482422,-296.9825439453125,198.2382354736328,0.3425700068473816,490569.5,818141855744.0,-8.330692291259766,1538702704640.0,1.0,0.0,13198.95703125
without behavior KL,1200,-228.318115234375,-329.45343017578125,198.642578125,0.3816802501678467,645144.375,818470060032.0,-8.333168983459473,3226802585600.0,1.0,0.0,15038.5087890625
without behavior KL,1300,-221.4513702392578,-331.04180908203125,193.02122497558597,0.4017102718353271,625595.1875,6489140887552.0,-8.331609725952148,2761453731840.0,1.0,0.0,15320.31640625
without behavior KL,1400,-226.31578063964844,-326.9615783691406,202.9750823974609,0.3129955530166626,558887.375,45627727675392.0,-8.331459999084473,17582172143616.0,1.0,0.0,14706.13671875
without behavior KL,1500,-224.4270782470703,-333.1885986328125,199.63999938964844,0.3470619916915893,589354.625,143611895218176.0,-8.333258628845215,27242100948992.0,1.0,0.0,14817.98046875
without behavior KL,1600,-222.7941436767578,-328.9423217773437,202.7407073974609,0.3657391965389251,606620.375,46194302648320.0,-8.333080291748047,27025249140736.0,1.0,0.0,14158.7763671875
without behavior KL,1700,-222.6910858154297,-325.5946655273437,203.34957885742188,0.3858764767646789,630147.625,150110516281344.0,-8.333728790283203,30499472932864.0,1.0,0.0,15334.1865234375
without behavior KL,1800,-223.4673309326172,-321.98846435546875,197.57046508789065,0.3956102728843689,646516.4375,372979590496256.0,-8.333517074584961,48505699696640.0,1.0,0.0,15647.203125
without behavior KL,1900,-222.7323303222656,-327.0099792480469,201.0050506591797,0.2894684374332428,512297.1875,801919652069376.0,-8.333086013793945,84020851376128.0,1.0,0.0,14377.01171875
without behavior KL,2000,-227.6531524658203,-332.7373352050781,201.27757263183597,0.3758083581924438,638227.875,1653800645427200.0,-8.332969665527344,141315664773120.0,1.0,0.0,15960.5634765625
without behavior KL,2100,-223.504638671875,-325.4830017089844,198.3651428222656,0.3550143241882324,603056.125,1608390493077504.0,-8.343689918518066,131893452800.0,1.0,0.0,15543.6162109375
without behavior KL,2200,-280.6590270996094,-357.1581726074219,198.7563323974609,0.2920898199081421,891433.75,837026848964608.0,-8.34369945526123,139879476363264.0,1.0,0.0,19203.740234375
without behavior KL,2300,-280.29473876953125,-345.11187744140625,199.94781494140625,0.3352964222431183,973296.5625,1633526386524160.0,-8.34369945526123,127621211881472.0,1.0,0.0,20112.9921875
without behavior KL,2400,-280.9144592285156,-349.2354736328125,197.6160125732422,0.3293690681457519,966771.0625,2867135483215872.0,-8.34369945526123,186586062913536.0,1.0,0.0,20178.732421875
without behavior KL,2500,-280.6960754394531,-346.6178894042969,199.4562530517578,0.3284544646739959,963933.125,4967379859668992.0,-8.34369945526123,271126924099584.0,1.0,0.0,20090.587890625
without behavior KL,2600,-280.1819763183594,-339.31182861328125,185.6259765625,0.3791009783744812,1041049.0625,8104431488860160.0,-8.343698501586914,375350982868992.0,1.0,0.0,20956.8515625
without behavior KL,2700,-280.9223327636719,-358.7447814941406,203.41107177734372,0.338282823562622,979916.25,7880563834748928.0,-8.35078239440918,3037933338624.0,1.0,0.0,20205.751953125
without behavior KL,2800,-222.01443481445312,-329.0808410644531,196.4076232910156,0.3587888777256012,593882.375,7597148069691392.0,-8.352738380432129,1642146037760.0,1.0,0.0,15579.0322265625
without behavior KL,2900,-281.6501770019531,-347.2879638671875,199.94781494140625,0.3306238949298858,977001.375,8046260988674048.0,-8.357379913330078,1143641866240.0,1.0,0.0,20317.046875
without behavior KL,3000,-280.2437744140625,-343.887939453125,196.4076232910156,0.3696644306182861,1025307.375,7403923396624384.0,-8.344099044799805,9090794258432.0,1.0,0.0,20789.91015625
without behavior KL,3100,-280.4574890136719,-350.29736328125,198.1729888916016,0.329059898853302,959829.625,7631812213866496.0,-8.34958267211914,1636304683008.0,1.0,0.0,20022.1015625
without behavior KL,3200,-280.1972351074219,-338.73291015625,202.7407073974609,0.3574994802474975,1019731.3125,6973356146425856.0,-8.348516464233398,16689204822016.0,1.0,0.0,20893.083984375
without behavior KL,3300,-301.9142761230469,-358.49658203125,196.84120178222656,0.3434077203273773,1106616.5,7199472215916544.0,-8.348844528198242,4669271179264.0,1.0,0.0,21592.3203125
without behavior KL,3400,-301.779541015625,-358.0851745605469,202.6076202392578,0.3741317093372345,1243812.0,6589454789640192.0,-8.349787712097168,12800042729472.0,1.0,0.0,23201.025390625
without behavior KL,3500,-280.0595703125,-347.6874694824219,195.147216796875,0.339609831571579,959738.375,6955979245617152.0,-8.348448753356934,1818880376832.0,1.0,0.0,19960.193359375
without behavior KL,3600,-302.32647705078125,-357.1044921875,204.75669860839844,0.333630621433258,1132810.0,6483790004224000.0,-8.346954345703125,6828529811456.0,1.0,0.0,21758.966796875
without behavior KL,3700,-280.4239807128906,-357.10546875,199.1026763916016,0.374111920595169,1035221.4375,7242165264580608.0,-8.350868225097656,17235880968192.0,1.0,0.0,21038.087890625
without behavior KL,3800,-280.5964050292969,-338.5497436523437,201.97622680664065,0.3360119163990021,977627.9375,8177113072926720.0,-8.349777221679688,27358721474560.0,1.0,0.0,20403.33203125
without behavior KL,3900,-280.9411315917969,-357.78875732421875,199.31375122070312,0.3372047543525696,982507.0,9731087001452544.0,-8.346319198608398,72197192286208.0,1.0,0.0,20403.732421875
without behavior KL,4000,-281.2452697753906,-355.0168762207031,202.1603240966797,0.3373256325721741,970781.9375,8610639555592192.0,-8.345722198486328,38991105622016.0,1.0,0.0,20073.87890625
without behavior KL,4100,-281.31744384765625,-362.5726318359375,208.72103881835935,0.3227183222770691,958449.875,7383067035435008.0,-8.345708847045898,45234905939968.0,1.0,0.0,20087.39453125
without behavior KL,4200,-280.4944763183594,-356.22723388671875,202.6076202392578,0.3598605394363403,1014942.8125,8214749334470656.0,-8.34638786315918,22172856745984.0,1.0,0.0,20748.93359375
without behavior KL,4300,-280.7708435058594,-350.87799072265625,200.53477478027344,0.3734227418899536,1037602.5625,1.0326049493614592e+16,-8.346541404724121,123987417890816.0,1.0,0.0,21067.150390625
without behavior KL,4400,-280.130126953125,-349.0584716796875,200.53477478027344,0.3291316330432892,947753.4375,1.1622700120276992e+16,-8.346390724182129,43277415874560.0,1.0,0.0,19933.392578125
without behavior KL,4500,-280.773681640625,-357.43212890625,197.9803466796875,0.3339050710201263,970589.3125,1.37232795041792e+16,-8.34603500366211,65698286010368.0,1.0,0.0,20274.505859375
without behavior KL,4600,-280.7624816894531,-353.8929443359375,203.34957885742188,0.3039957284927368,892538.75,3275346891767808.0,-7.371042251586914,37909914714112.0,1.0,0.0,18992.15625
without behavior KL,4700,-280.6927185058594,-352.9727783203125,196.8477478027344,0.353029191493988,997497.625,759374592.0,0.8152815103530884,43868712.0,1.0,0.0,20486.12109375
without behavior KL,4800,-280.78985595703125,-350.493896484375,186.90399169921875,0.3943898677825928,1094250.625,1127834880.0,0.8142956495285034,43080416.0,1.0,0.0,21893.6796875
without behavior KL,4900,-281.5636291503906,-354.34259033203125,198.7563323974609,0.3289484083652496,967692.75,1318611840.0,0.8146311044692993,14936438.0,1.0,0.0,20175.31640625
without behavior KL,5000,-280.6914978027344,-355.92938232421875,195.60772705078125,0.3401320278644562,992102.3125,1956822272.0,0.8151088953018188,69016680.0,1.0,0.0,20690.947265625
with behavior KL,1,-283.9366149902344,-346.7550354003906,198.1729888916016,0.0221661571413278,1066552.75,0.0,0.7941851615905762,0.0,0.0,319.8663635253906,2084.51953125
with behavior KL,100,-283.9366149902344,-346.7550354003906,198.1729888916016,0.3931780457496643,1114299.0,10.330400466918944,0.8537225127220154,10.460658073425291,0.99609375,3221.77490234375,17286.974609375
with behavior KL,200,-288.9806213378906,-353.1639709472656,201.4819793701172,0.3626809418201446,1093974.25,4.015040397644043,0.9109646081924438,12.887672424316406,1.0,2428.192138671875,15775.708984375
with behavior KL,300,-275.6635131835937,-347.4111633300781,196.62576293945312,1.031407356262207,1019719.4375,1.454698920249939,0.9753855466842652,3.033714771270752,0.98046875,1328.50830078125,18058.603515625
with behavior KL,400,-284.3766784667969,-348.1439208984375,202.7407073974609,0.2420096546411514,982943.375,0.6120102405548096,1.0309526920318604,2.224294662475586,0.95703125,631.5299682617188,16282.732421875
with behavior KL,500,-281.02313232421875,-358.66650390625,202.27175903320312,0.2565090656280517,1060405.5,0.6694259643554688,1.0782203674316406,0.5760073661804199,0.8984375,617.8507690429688,18919.7265625
with behavior KL,600,-285.2594909667969,-357.05255126953125,197.43716430664065,0.3861710429191589,1091214.125,0.8654569387435913,1.1151137351989746,1.866882085800171,0.9453125,462.6495666503906,20667.091796875
with behavior KL,700,-278.7775573730469,-356.979736328125,195.56448364257807,0.2822787165641784,942921.0,0.4083992540836334,1.1601855754852295,0.999691367149353,0.8671875,418.6556396484375,18255.439453125
with behavior KL,800,-284.70025634765625,-360.8665161132813,203.41107177734372,0.2351426929235458,1071580.875,0.2694196105003357,1.1737720966339111,0.6415181159973145,0.8828125,276.6454162597656,20886.626953125
with behavior KL,900,-286.6613464355469,-360.2313232421875,201.0892791748047,0.2609567046165466,1074620.75,0.4062693119049072,1.1918718814849854,0.4489859938621521,0.8828125,339.51141357421875,20822.181640625
with behavior KL,1000,-288.3945007324219,-355.5784606933594,202.7407073974609,0.4133393466472626,1097691.625,0.8377680778503418,1.2485873699188232,2.524419069290161,0.95703125,261.2021179199219,19928.974609375
with behavior KL,1100,-280.867919921875,-359.71881103515625,198.2382354736328,0.2055584341287613,996635.1875,0.175339937210083,1.2515439987182615,0.5777391195297241,0.84765625,112.43849182128906,20239.177734375
